name,term,starting_date,ending_date,no_of_students,no_of_videos,no_of_assignments,at_risk
Engineering,Summer,07/06/14,01/06/15,19269,25,28,9039
Humanities,Summer,07/06/14,02/06/15,25703,18,25,21020
