event,grade,quiz,std_id,video
10,0,0,16ab9220d225ba5815de0ac55f2c16b77a83ad65,1
397,"23107    1
Name: grade, dtype: float64",50,e237770545e5228d6af29baebc0fdae42f6ee34d,18
782,"5225    1
Name: grade, dtype: float64",128,2e786dc81a25b51dd8cb3cea39975e9f587c7289,22
42,0,4,f2f4629c94627dbc93cb9f506fcfd306783a59f8,2
10,"31880    1
Name: grade, dtype: float64",0,e4da18c72cbfe2fc610df8d8f9a1cb824d1ca6e0,2
349,"26196    1
Name: grade, dtype: float64",52,233df2fe3166e7ac2de94661c34f9f8a7c269483,18
40,0,0,a798d9db8e3abf2cae1ef81e95b7b724ad5c74a0,3
393,"32153    1
Name: grade, dtype: float64",43,8cf27c39faafd5bf8ca8554d991f3a73f60a6228,11
260,"25294    1
Name: grade, dtype: float64",34,bd530565999c95813c5d661b5626af2e16c8b6ab,14
358,0,42,b6fa53c6c315e58b10b06c14a96e8e6553e85811,11
423,0,52,e9f58f7e5b8b1aa233ce8277b4731cf4e2543e3a,12
347,"20022    1
Name: grade, dtype: float64",55,033a6795b9d29aa6e0a6a1497c0a758e3c3d7c96,17
496,"26972    1
Name: grade, dtype: float64",48,bc3176bda4c1089b3afff33884b8fca21d1a09b5,13
345,"10225    0.99
Name: grade, dtype: float64",37,55b7933c789a5990a316b1b78e474d4fe6f7b166,19
484,"8714    1
Name: grade, dtype: float64",74,0f447a021e22b51fb2e7955ad2dc194ec79765c5,17
554,"11849    1
Name: grade, dtype: float64",123,dead1cd6e8f5b9d1e37d0a79f9a25b0032c74217,13
278,"5529    1
Name: grade, dtype: float64",32,b05f0ad387d091e932655e81bf6a4d089b302277,10
68,0,0,758cf7c173e2db60616c6e0bd1b21210d1134773,3
268,0,24,45975dfafb0ab096421b115209f4b06189d84f6f,7
652,0,84,d7ed3fd2920296ce3a6a22e7c590751c1286cc9e,18
165,0,38,7b245905b3eb186b854667c3c6687c0b277b25b6,5
472,0,66,b06db172c49f105f9e1486d950223bb60ad2da8e,23
641,0,84,9a441e851d9225c184e8b0e06dc1fb055d99ec09,24
3,0,0,18fbdd7e4732013b72746c5bd4dabee7a0a98809,1
1,"3448    0
Name: grade, dtype: float64",0,0c344c5dc31b7d3d76ae6f2d38b6b58433d3b315,1
163,0,22,78bb795c6055444e2a0b35888f188b74aa38a59d,10
86,0,2,950d60d75eeae0d1465abd1baffcd3ec97a92984,6
382,"9223    1
Name: grade, dtype: float64",53,7fe99c8d3a095899eaab73453ac7669b4e0dea5d,18
3,0,0,7ee10db25ec5c1204d7b74a3ae885e238210cb40,1
1,0,0,375ef95eb79da58bff98e6c736d93843314b5e22,1
