event,grade,quiz,std_id,video
1,0.0,0,83c1b3dab33d55225eb8499457d3959aab620f5b,1
3,1.0,0,4082537556f0e942d5cf9987b1c9b81bcf98e205,1
3,0.0,0,bace64f57724a2c35936e55276ead13f516498ac,1
1,0.0,0,6c59f6ce90ed2dcc001600e8648299ab4804c6a0,1
4,0.0,0,dfb1fc00ee2c77925101520394cdcf804074a0d5,1
4,1.0,0,8a8ce1f5918f6541f2cefbd7fe37dea9b255dbc1,1
7,0.0,0,77a154bab75fada633cd8b867d8f7f73939e481f,1
1,1.0,0,dacedd8c7e8d244857e9d849eb766cf43b4a913f,1
1,0.0,0,96230eb0d7eeda18d5062565d71cc8c7384b920d,1
4,0.0,0,154bc035c237a9817dcfee726fbe636a64380226,1
1,0.0,0,05536a231082299f71d94ab6bcdfdb40d92dbbc3,1
2,0.0,0,2aa7515a64b1598b2c5978220c1126e9abd0b1ab,1
1,0.0,0,3b358b8a91b15686e9e4b611a650b035f804f1c3,1
1,0.0,0,7f894e2b8fdbc7fdbdb5d9fbcfdcf1795593df95,1
2,0.0,0,0c344c5dc31b7d3d76ae6f2d38b6b58433d3b315,1
8,1.0,0,37a6226a5be5f9650217cef22e715ac79490762b,1
3,0.0,0,bce0d81cf4138cf8d92fe56ea7615ed6d60206df,1
2,0.0,0,de48350a8d377e3331fc309db809bab9cd778d94,1
2,1.0,0,a044dfac584f4a7f87afd5b724b483d14f707fcd,1
1,0.0,0,b06db172c49f105f9e1486d950223bb60ad2da8e,1
3,0.0,0,cdc43c467c9308bc0a93d889bfcbb9eb66b4cc50,1
8,1.0,0,dcfef09b385ab9d208ea79f7bd2d7770e8fb715b,1
2,0.0,0,b2362f07fce84a96eab9e6b2d56f8171815f2492,1
3,1.0,0,c6d3bbfe47d9adf8219c17e690d706acb0dff3fe,1
2,0.0,0,9182e18c9b8817f5e9fa97dcdfc0740b32959feb,1
3,0.0,0,880b3305ac948ac4126e9c214bbaf974753a4ddb,1
2,0.0,0,323a7c0edc5310c58b3f121a4f375ebed32f9d20,1
