event,grade,quiz,std_id,video
11,0.0,0,6e4c618e497fe0f49186e5138872b1ff4c13989f,1
5,0.0,0,080678a56d7f8bf2ce5b05632c6eb312d21765c0,1
1,1.0,0,e6e7ae81285aa359e56c677fa253c7feeabd302c,1
1,0.0,0,ad51e87c279115b10f66b868311c7c064bb57973,1
1,1.0,0,de2480e839a474832831e5fd8b8436e4ae6818e7,1
3,0.0,0,ce1ccc9e996d64cdc3ff60de4a69ca29c67676ce,1
1,1.0,0,bf9243af44246b64a4404e9a2957f335208cc79e,1
1,1.0,0,81a6b01150ff872918b3c6146c92e242f9549331,1
2,0.0,0,ba1c558c3ba48402022a99962e2c1f427e05a1ed,1
1,0.0,0,5ad8e9dd3f965960e9fb7855167a790acb4f4e30,1
1,0.0,0,02d6f5094982ca9c46abc2853f1802e3b6a67a2d,1
1,0.0,0,11fce0886d9c1c6f81cc5b4d9e888aa9c318dcfa,1
1,0.0,0,80f99ad029cdc575535cf0643ca7d26bcbcd66dd,1
2,0.0,0,ee073c012d327ec26ab73e5de12c0a94e1da3270,1
2,0.0,0,0fa8f360a8a28d942807b93d91095c387a5a77c6,1
5,0.0,0,c84fad07eccf0fb6718e2c9eefb376ef2db543b2,1
1,0.0,0,c2b1086b4ecff649a5b1ea3df508873203e53897,1
1,0.0,0,a282490a0fb1af9caf6de8421c2f5842f3a61f52,1
2,0.0,0,f1f8767f4f18c2df59c72e05acd9819c6ee450f3,1
2,0.0,0,68725a633cf4056ec422c171cd3b776a3e4afb6e,1
1,0.0,0,e0d7383ca9ab89cd5610ee99e2fa3ec010fa9a77,1
3,0.0,0,04423280aa08093ba4321e5104f429de7c4c3e14,1
2,1.0,0,cfcdfddad0466d44fbac1bbd3736f74aca1c7d5a,1
1,1.0,0,329e3575316fe4efba2f2d8610658507dcc78a49,1
1,0.0,0,4f5873594eec6141d8c6fca553e103d8fd84553b,1
3,0.0,0,00722a3a0d785a6514fed2f7c316fa00d3bef9b3,1
1,0.0,0,f248b808f9d5ec9583a7c61637ae6b02875baef7,1
1,0.0,0,c30a13fa0ecab411e7afad2f4e2b2964533a9b1e,1
1,0.0,0,664851467cf9a21009931aab39912d38eab46e7f,1
2,0.0,0,a917a3feeb2f6ff3a70198eaedf7762db638de54,1
2,0.0,0,20a5f84073c8fb1466e4f7ca41ff627dda074bf7,1
2,1.0,0,d794e0285d8b21c7c4c35f4426e59784bbfdcdbd,1
1,0.0,0,985af633db9706d092f29a1c09d24714549e2fa8,1
2,0.0,0,c4892aa5b87e74f78c6dd7fa4e41598ebef42801,1
1,0.0,0,20dd309106c9d5a4ecbfb58f36ce56d40c3c372d,1
1,0.0,0,e43d41bb5532c91ddecf307b011997ca87ab2005,1
1,0.0,0,a5199e538f80973f5251009a9c59c7bb39d29455,1
2,0.0,0,37aa78b04353c092eae4b739997f4b1a15c4ae5a,1
3,0.0,0,c4eed0f08903f8987700470ee17706887cad0148,1
1,0.0,0,1585a40122a15563898864744e1dc8be37e28b0a,1
3,0.0,0,f979c8b8aa88cba977893441df018314798b1d22,1
2,0.0,0,6996d267c4caf45b5ff1d732396901aa252f7870,1
3,0.0,0,f59454175cf8cb90c584a0e45b458f3176e50f02,1
2,1.0,0,e8a768ecd1266040713edec9d63faefaf20b9cb5,1
3,0.0,0,578a977954169577b020e6837c599e49b98cfd32,1
1,0.0,0,50f1dde29f59bb0b70411c70fd27a46bef470c5c,1
3,0.0,0,b169fd09e983613a1aee8c88f06a90c373d9a007,1
338,1.0,0,79fe2526bb9262f9ae1c9a30f1b4add61a480a31,5
1,0.0,0,a46805aa0ec33c47cfeb389882489471c44f2f94,1
1,0.0,0,7451ca947e2497bb4332ea04aaeb9bca93abe303,1
2,1.0,0,188b0e49f08ff7a334192fc20a0e6495965b4e54,1
5,1.0,0,f52fc9c5b9e50ae688be7554e1af2db0fbb6e7c8,1
4,0.0,0,8d50a7c9d5eeb31129a8a0ed412ef9391feadf95,1
3,0.0,0,e47ecd93ddeda722621142909d4dedbd9667842b,1
1,0.0,0,0cfe17d47acb3189ca8b720618a240fcb7aad315,1
3,0.0,0,99bc83d00c08ba0220279238e5dcbd60a4e44f36,1
2,0.0,0,27956ddc1a262647dcbdb48a6122de2d009a4430,1
3,0.0,0,31303b5704201aacf7086674d21839d620b3684d,1
4,1.0,0,763124a107aef980cbd38249b2c5d0026a335cf6,1
2,0.0,0,fb9756a6fa3c837474e03a20feb9f95d374fa422,1
1,0.0,0,301c797f5a8769757462af7b9b5dfaf9aaf43523,1
1,0.0,0,2dd69af1cf9c7fc63f13ebda5e43ab634cc0239f,1
2,0.0,0,9268ea88d72862290133abf9f90cebedd2cbd24f,1
2,0.0,0,0569dbb742a78c25543ddc3626480850532c382c,1
2,0.0,0,b65166ab5008194979004994a9fc1a67ce63135a,1
2,1.0,0,3c0174fe6e2ba42edf8d4ff90325d62f1542d57c,1
3,0.0,0,92218517e6d8c0ec1a07ff89bba3059220414a77,1
4,0.0,0,c7a1fa2cd3f282afb990370b0143f73f5e2dc27e,1
2,0.0,0,991644eed4b47d42abc788c42ec96c033dca8e3a,1
1,0.0,0,8e0f88e509ba46122cd2d6e34b0488aa02a5200c,1
2,0.0,0,419d97821d39c5170036536dc125151c228b9944,1
1,0.0,0,964f88c592d57c8e0e95b88c0f733963bf6f2b2e,1
2,0.0,0,081789b1c0c87366290b57a8f33357e87f54acde,1
1,0.0,0,f942d3d2d6c9a15887a88eac9108a66effd8c8a5,1
1,1.0,0,1f3c8284b4f9b7c6cac3613122a5b2066b92a68a,1
2,0.0,0,07f7f01779a8638d3806e5c999996a70f8701f13,1
2,0.0,0,fa58f386b55600da0acdd6f02794386646397eee,1
2,0.0,0,6ca59ea223e330ad93e6f0fa33bc25ba447b0a37,1
1,1.0,0,530127d1250d3d76cbac344be140f569f809e62d,1
3,0.0,0,83e4624d364cac79b7fb2a41bb9ccfe1a26059c2,1
