['6abf52c6f8951649ea6f7fee29ff9e3c21749ec1' '0' '0' '541' '0']
['e49c22ec81770b2a3957e90597aa9a205bd03d6f' '0' '0' '2' '0.82']
['8b3641b28663ccaefad179f4fc80cbd48e45ec9f' '0' '0' '1' '0']
['63d8b4ffaa596b7613ca7847bdf6146e80d8b7a5' '0' '0' '1' '0']
['972695d545644bbdb88c38840e6794b27da5cde5' '0' '0' '2' '0']
['ff8e8b940aae6cf82d871858dff92f953592659c' '0' '0' '3' '0']
['fa200c7f2e37ee51ef172f9cb96b9439e33c2d88' '0' '0' '1' '0']
['43fd10c41e348cad20ac7c470b4c91c61df4315d' '0' '0' '2' '0']
['aca1a2bbe1d4874e9c831f64c735fab4d8f53dd5' '0' '0' '2' '0.02']
['f05e019824a3c658511c323712780afb72251e7d' '0' '0' '2' '0']
['0ce8ccb8859977acd67532b6275ccf0112b90ab9' '0' '0' '1' '0.47']
['2779b6a5855d8491383e0d2ec8e41ab686799022' '0' '0' '1' '0.18']
['141123d7bcc2bdc19fda9bd604bbaa67265597be' '0' '0' '2' '0']
['f8fd98241cf6758ca0f014f48bdb67b3dbdc38b5' '0' '0' '1' '0.64']
['8ba428dc02af7bd3bb7446e973c23210c7f5dde2' '0' '0' '1' '0.06']
['c416a603eef5bb69b437d06dad69957d708d253f' '0' '0' '1' '0.48']
['e2845f8bf7b76252c4ba1c4a2696b99d59f2a8c4' '0' '0' '1' '0']
['322e1e3789d98297bce455aaa80e7af09742320b' '0' '0' '2' '0']
['fd05b1d764a0ffc213f8b580f07f7bc5c5741717' '0' '0' '1' '0']
['09d282410b485fe80b445472a129db3453dfa8e2' '0' '0' '2' '0.01']
['4aeea5db0411779a908391999ac720486ac30c9b' '0' '0' '1' '0']
['bdcacceb92db6aa6618806cac4d71662266c1249' '0' '0' '2' '0']
['2c993ab69334320582e785d7fc3c84d8d4235eee' '0' '0' '1' '0.01']
['2eafa29c3d1141af1040c1421976fa46535b36d4' '0' '0' '2' '0']
['4e6556ddfd5721bad14d6b1cecb3a1e2351d977b' '0' '0' '1' '0']
['b7d3dc1280e4dc584b4ec2b868c167acca9abee9' '0' '0' '1' '0']
['5e7fd52938baab1f2460792f17096632a6fe7c61' '0' '0' '2' '0.06']
['35e9aa8030878f3bbde07d42ca54599e4d6a5346' '0' '0' '1' '0']
['7548cb414dbe0f3a35f530d2b61b5d234b5c6ba7' '0' '0' '2' '0']
['79fe2526bb9262f9ae1c9a30f1b4add61a480a31' '0' '0' '3' '0.01']
['a78db092cc924b0d7d800631b90a278919129e08' '0' '0' '2' '0']
['5da4a45d9481133ea1e5544f4c5e5413b36670ff' '0' '0' '1' '0']
['279c4aff5ed7e179bbda1ac2a52c1cb2116a161a' '0' '0' '3' '0']
['cfb0a2eb371c4bbdabc3afe8a76e202b6196da98' '0' '0' '2' '0.81']
['7333db8fd564978bfc6a530c8c3eca96b8e26e30' '0' '0' '1' '0']
['bf94f00d6acd006557c45d31e22f4c56d9f6d4eb' '0' '0' '2' '0.05']
['b740e901b4708c6e587bf5d109a6defe6e19cdb8' '0' '0' '2' '0']
['e1852a644c78fd1d3ec841949a62c4e67d35839a' '0' '0' '2' '0']
['d3c2178f412cb2b8595e1742a2dbd782d6f4c469' '0' '0' '1' '0.52']
['736f6d305e691695ef9c7717a3bc9ab30f47d363' '0' '0' '1' '0']
['b96e952c9af4dc2d639dc16154bfc4f33f1dd1ec' '0' '0' '2' '0']
['52f65f980fad56298736e85db43b75bae03e0a76' '0' '0' '2' '0']
