event,grade,quiz,std_id,video
1,0.0,0,83c1b3dab33d55225eb8499457d3959aab620f5b,1
281,1.0,6,4082537556f0e942d5cf9987b1c9b81bcf98e205,9
3,0.0,0,bace64f57724a2c35936e55276ead13f516498ac,1
1,0.0,0,6c59f6ce90ed2dcc001600e8648299ab4804c6a0,1
4,0.0,0,dfb1fc00ee2c77925101520394cdcf804074a0d5,1
378,1.0,0,8a8ce1f5918f6541f2cefbd7fe37dea9b255dbc1,10
8,0.0,0,77a154bab75fada633cd8b867d8f7f73939e481f,1
411,1.0,10,dacedd8c7e8d244857e9d849eb766cf43b4a913f,11
1,0.0,0,96230eb0d7eeda18d5062565d71cc8c7384b920d,1
150,0.0,0,154bc035c237a9817dcfee726fbe636a64380226,15
1,0.0,0,05536a231082299f71d94ab6bcdfdb40d92dbbc3,1
2,0.0,0,2aa7515a64b1598b2c5978220c1126e9abd0b1ab,1
1,0.0,0,3b358b8a91b15686e9e4b611a650b035f804f1c3,1
1,0.0,0,7f894e2b8fdbc7fdbdb5d9fbcfdcf1795593df95,1
2,0.0,0,0c344c5dc31b7d3d76ae6f2d38b6b58433d3b315,1
414,1.0,32,37a6226a5be5f9650217cef22e715ac79490762b,12
36,0.0,0,bce0d81cf4138cf8d92fe56ea7615ed6d60206df,2
2,0.0,0,de48350a8d377e3331fc309db809bab9cd778d94,1
152,1.0,4,a044dfac584f4a7f87afd5b724b483d14f707fcd,8
1,0.0,0,b06db172c49f105f9e1486d950223bb60ad2da8e,1
3,0.0,0,cdc43c467c9308bc0a93d889bfcbb9eb66b4cc50,1
1424,1.0,42,dcfef09b385ab9d208ea79f7bd2d7770e8fb715b,16
8,0.0,0,b2362f07fce84a96eab9e6b2d56f8171815f2492,1
1335,1.0,14,c6d3bbfe47d9adf8219c17e690d706acb0dff3fe,10
3,0.0,0,9182e18c9b8817f5e9fa97dcdfc0740b32959feb,1
115,0.0,0,880b3305ac948ac4126e9c214bbaf974753a4ddb,3
3,0.0,0,323a7c0edc5310c58b3f121a4f375ebed32f9d20,1
1,0.0,0,e87e2c1342c041f8be4661323695233d8a108c33,1
336,1.0,24,f2232aa9628bbf7497ecbad0fb1dfdc2705572cd,9
3,0.0,0,065b83b0bf1e7befa775a86148c6043c96755383,1
4,0.0,0,3464a9f4efc1f96e3160bffe196a2299f7d15266,1
5,0.0,0,2efa6e861a1b264b8189f01998ad2e547d1d7f2c,1
2,0.0,0,314fa73aee31c3974fa703341bb42f7442850e7b,1
6,0.0,0,d5ee40072c5cb13adc95db0110197b4423f21a00,1
130,1.0,10,6c1bd35bc3d37d2c56bb399d05949fc54d3c285b,8
56,1.0,0,d587ab0ca5a7dd3ba4a78cc9479ee69c2308f958,3
103,1.0,8,fa853c489ec58e6fa19dc6ae4ad4e473d2f738a2,4
1,0.0,0,e53ca17effb634df742a13c09db12efd08967e3c,1
103,0.0,0,eb967f5c95276dd52b24de6274a188660563b6b1,4
1393,1.0,46,3f978832d8ee802d2dc8389ea19b63fec5eb752e,15
3,0.0,0,c4ffccc6bf8aa092f128f3ea45b7409e72898b80,1
149,1.0,8,65bffd391589df1c63dc1591014f382cec1abb7e,5
191,0.0,4,61cd13a5f761966342a5c379fb8f1e96f32ec368,9
113,0.0,4,a93630ca0a17aea82649191aa174dc41d03afc0e,4
7,0.0,0,f85e20668bbc77bc5e9186fb213df6bf38345f36,1
70,0.0,0,957fd44c6036e11a75572096576e425388a1f9d6,3
32,1.0,0,5928b7aad849c62901c0bc9fb23060ac72e38e62,2
1091,1.0,46,483c567ec5f4dd0e0ab5867bb8f4f1cf5c199856,15
5,0.0,0,3bb3c98eb4c080b4d1d1501a3575c0d12733ae35,1
690,1.0,24,e5467c85fe1ad66ab31368610e251f4f1c149572,10
2,0.0,0,e0d135643c0ca34ff6c75d683b531643889ba873,1
2,0.0,0,e06cc530b0d79599f5bc4783d3fb3bb2149f8816,1
1,0.0,0,d829512b492f3e9c99886b205101da9e4ded2c6d,1
395,1.0,16,bf94f00d6acd006557c45d31e22f4c56d9f6d4eb,10
3,0.0,0,d50cb34f9ee69eb8e86a4693ddb1f3e60614438d,1
2,0.0,0,c25fbe128ab77400daa881a2c5024c2c77acc44c,1
153,1.0,6,ac0e0b1f1e00938b3a6e38abcf124ed936985337,6
2,0.0,0,2c318cf07e533772a75b531b5d8c1425f2573e8d,1
1,0.0,0,e3935cfe7f640985bd63dde4e4ba4b34cefb86c9,1
628,1.0,22,babbad61ef646309cdf74893a7fc326ec4b4a75e,10
1820,1.0,46,c6f6ee6913bbe9d7d5841ee715faa6588af5ec62,16
2,0.0,0,d7d52d833a4f7c5965dd22eb1c33137898879be8,1
259,1.0,18,499d89bea763050e4582a4832bac34b3816b1fac,10
124,1.0,10,b7cb881ee753ea767b7c5fb196fe440cd495599f,6
469,1.0,26,dd09c4c8d4fcf26dd1e7e3c74d79e533f0eacb87,10
301,0.0,0,c1852ddd4523bae2a9a5c2e0380cb10c48f4f086,15
52,0.0,0,6a4fe8aa59a59e8d984686efe2ededef2acc371c,1
3,0.0,0,780ae0677ac26d91046350d38eb159b5530d0cdd,1
2,0.0,0,adcae9e7dd61bb769c4c53b9f07580d54d9157fc,1
2,0.0,0,610d468b3f83024c55939806ac6c32a044cfcecb,1
1,0.0,0,562306970eee894a4c1c040f7f1ab0c43961890c,1
1,0.0,0,94ec84e493f9eae2067a68310861be4718d706c5,1
1,0.0,0,957e08b9f4c2dec9ee997422bc9d89a11d930288,1
3,0.0,0,f08f451765bdf9626f8681d3eb13d4441bfba0cc,1
2,0.0,0,1390fc3da734f007a88d0c8c7709ed125ee92ef7,1
1,0.0,0,d2e130d11f02fb227b974b6555755fb7bd551dec,1
619,1.0,42,3acf33598031b03a36a04283d9ad9f12f7365bbc,14
311,1.0,46,f1569e59012eb3fc6594f60082cee57241b106b8,12
35,0.0,0,c21a1e3c2618227c47b1b87931caf9337f185384,1
1,0.0,0,e4c52148a4600c9b7389c664b9acb0568178a721,1
1,0.0,0,6efc0288689e465353a94efd59541d847c8ea4ae,1
2,0.0,0,7dcdf86719ef2960f09f4f5240b0ffc53a055d5c,1
37,0.0,0,1d8712acec655f3800d399c1bfa2a72e077b3f4b,3
157,1.0,0,bc133c349c5a9e0eb590fc81f7a5549ecc4efdce,3
1,0.0,0,e25e77342e5cac540e4453fb33155cc6aff2f793,1
121,0.0,0,a772151d1d610ef716d5916e226f8806943514cb,9
8,0.0,0,12201fc6f4d8b1f0c81f6b8a53eeb3654a9e21f3,1
2,0.0,0,07deef815b164bed513a4ed5b9f59a642b0f5252,1
350,0.0,0,2e0efa76844e1b20504561661a0b765c949245d4,9
