user_id,NP,NB,NF,MP,SR,AS,RL,TP,ES,session_no
c01016a689ff298e06a8332b60c605470e0eb47d,2,0,0,205.559988,0.0,1.0,0.0,517.803,0.0,1
774962de9e09bcf7bdfdf17552f7ee16b963b26f,4,2,0,49.117842,0.0,1.0,53.37798,209.276575,0.0,1
36eed1b755bf4ea249cf927e929e4ea2767061b4,2,0,0,190.970169,0.0,1.125,0.0,597.729098,-0.125,1
5e9d3175d63740ac96576dfe5d8a69f95068f8c4,3,10,0,123.53251,0.0,1.0,295.5175,548.0,0.0,1
970c900b91a7248cafd4b3584e1ec675e6bc5bdb,3,0,0,16.157889,0.0,0.75,0.0,207.913778,0.25,2
2144aa1eec3a463db910d5c8dfc815e86e397e6d,2,0,0,167.245773,0.0,1.0,0.0,205.926170959,0.0,1
8c9e788b97a8b37085883a41eaa04f0b258a3159,3,9,0,198.6978045,0.0,1.0,285.372842,695.595008,0.0,1
ef18a40cdc969c7c3cf8a6d540c7bab657553d0f,1,0,0,5.437964,0.0,1.0,0.0,557.389206,0.0,4
26950f660abc6b8ffe6ea0ba09409a945cc4bb77,2,1,8,141.5,66.886114,1.0,13.327844,695.69306,0.0,1
26950f660abc6b8ffe6ea0ba09409a945cc4bb77,6,1,0,42.294354,0.0,1.0,693.69306,693.257625,0.0,2
58cba49c2f69089aa12fa33aef09750b3a849a7a,4,1,0,12.025558,0.0,1.0,17.398151,695.292693,0.0,1
8b8fea2b4e1475d6de1d7b662e9e43f38a938c22,7,0,0,6.860463,0.0,1.125,0.0,695.4342,-0.125,1
8b8fea2b4e1475d6de1d7b662e9e43f38a938c22,20,14,5,9.913727,123.169,0.75,88.2255,676.4184,-0.25,2
fa133e979946373136eb898af04895f0179729d1,2,1,0,19.0,0.0,1.0,25.196,695.361,0.0,1
fa133e979946373136eb898af04895f0179729d1,8,7,0,98.026088,0.0,1.0,93.285,695.401,0.0,2
57d75302501a98ac2db878773016fa0b27a4e16a,4,0,0,107.357854,0.0,1.0,0.0,695.396552,0.0,1
dac133e7e905bef72979293e4a10aee4ca420ac6,1,0,0,0.636064,0.0,1.0,0.0,683.164427,0.0,1
4eb78d39336ba21d96b7db854972705bf1fee833,2,2,2,236.622314,423.078,1.0,404.142,318.0,0.0,4
c9eacb78f2ed4498a860685d3e5d3f42fd6880fa,5,0,0,22.859334,0.0,1.0,0.0,642.442199,0.0,2
63362ce14495f95195f60177bdcb783f1c5660a8,4,0,0,54.0,0.0,1.0,0.0,695.031557319,0.0,2
b093a7eb94d43996f128ce5389bd854055650b2c,2,0,0,38.5,0.0,1.0,0.0,515.525321,0.0,3
7633f9ad9ad73c22d34a21498bf4a431f1e7a189,3,0,0,125.5,0.0,1.58333333333,0.0,695.292517,-0.416666666667,2
fd9bf5184e9754a5ebed43bb51825e72c559860e,15,5,0,113.5,0.0,1.0,27.855626,586.12491,0.0,4
d15ef48b88a3815093c9e350499b7d22b099ae1c,2,2,13,77.5,522.187,1.0,43.722,680.0,0.0,1
f7065152aa004e08bc82f85a81700456a8f019a2,16,13,1,53.0,3.69,1.0,231.017577,695.436328,0.0,2
b61e01d9771d33b8dd7057b2b0fa579cac6a3ebb,5,4,3,50.5,15.378188,1.0,111.435373,695.361337,0.0,2
09c49d1e7b87ea4c3e5f9368c008d01d5447499c,2,5,1,230.0,317.02,1.0,293.626291,695.442605,0.0,1
