user_id,NP,NB,NF,MP,SR,RL,AS,ES,TP,session_no
c494d3665fb9c14153f7d4770c365d30329b252c,2,0,0,35.0,0,0,1,0,556.28927,1
9a441e851d9225c184e8b0e06dc1fb055d99ec09,1,0,0,nan,0,0,1,0,556.216583443,1
582cc30fefc71e921df94851a02b01f507d199cf,2,0,0,3.0,0,0,1,0,549.4702898,2
dd30385995293b456ca5e199b581c6230deac7d8,1,0,0,nan,0,0,1,0,419.742774,1
dd30385995293b456ca5e199b581c6230deac7d8,2,0,0,808.0,0,0,1,0,137.30764499999998,2
39e6a6a448fda4103b4c780f868490202aedbe7d,3,0,1,76.5,26.039417999999955,0,1,0,509.570021,1
4a30571db7d80f5a86536f434b465d250a6be696,1,0,0,nan,0,0,1,0,556.258311,1
227c801034f7c3d9ff581098d4fcebdbb87a32ca,1,1,0,nan,0,295.73776801099996,1,0,187.0,2
227c801034f7c3d9ff581098d4fcebdbb87a32ca,2,1,1,37.0,73.561677802,113.0,1,0,556.393508758,3
2545c408a43fe7833f3486841a79c1782d835d4d,1,0,0,nan,0,0,1,0,556.262481,1
21c7f7975e59e416d6d0f84de2ee8eb6d322bee5,1,0,0,nan,0,0,1,0,556.2,2
1f973c65d87350fdfdde396f756f6a26243cd5b4,1,0,0,nan,0,0,1,0,556.20009,3
05f562182278fcad25020a1dd28fb2a77018166a,2,0,0,3.0,0,0,1.25,-0.25,556.146616879,1
317549879fe672209ae9adc05067da85f3f7c8bb,4,0,0,23.0,0,0,1,0,556.511657715,1
b2ca16e0e40a83a2db6e3c69302490a68725f636,1,0,5,nan,137.51300000000003,0,1,0,556.164833,3
e240297232c16ca91befe9234f9159f08a412b1d,2,0,0,97.0,0,0,1,0,510.096,2
6e74ba993ecf70c11a0643423bff597c820fc7f2,3,1,0,12.0,0,26.176999999999964,1,0,556.16902,2
885dfbb73b2ffc55a2cfefbaf74b4a41204714b5,1,0,0,nan,0,0,1,0,556.208598,1
c591f55170a5871a267a7cf1aa760494d1ace784,1,0,0,nan,0,0,1,0,556.18927,4
f0c2de50fffab1d77d7a7d2d5e5a487cba0ae1f7,1,0,0,nan,0,0,1,0,556.393105,1
ce50a6a6fa3ce9f00da54d808bb82f9ddf55e8b6,2,1,0,1175.0,0,24.679028673999994,1,0,361.762279187,4
d96d2b392658c5d9bcbe2a2bf877e98c0af316fd,1,0,0,nan,0,0,1,0,556.538281065,1
d23b13212c7dcc10d3e0607f057b9d0408501c13,0,0,2,nan,93.24599999999998,0,1,0,484.83,1
e48045bfb074f367597e75220f756bacf5294bb6,2,2,0,43.0,0,3.2170509999999943,1,0,556.23229,1
25cedcc16743f2c67e2b9197c892b319d879448c,2,0,0,31.000000000000004,0,0,1,0,556.443548,2
ef950a7b2964520f3f26e5fb064d75443f2a3fb3,0,0,1,nan,23.350000000000023,0,1,0,458.861,1
a70bd0bce2e0fca4479a4b23b59f8d0e0bb07345,2,0,0,9.0,0,0,1,0,556.349915,2
38565fd86f8f01c627af07c760d4073bae45d46b,1,0,0,nan,0,0,1,0,556.06927,1
0af6f36a1581b303b2b17db1baf5dc00ffdb4dcc,9,0,0,31.000000000000004,0,0,1,0,556.322062,1
8186385d44cbb382898b5d5145f7ebf177d52036,1,0,0,nan,0,0,1,0,556.013539,1
6fe005225ceea1eec7f90bb9843f1713f5a23f4d,1,0,0,nan,0,0,1,0,556.5,2
fb055c165ac8a4ac48c3cda6221bce291987a940,1,0,0,nan,0,0,1,0,555.934,1
d38ecbde1e422dad74450ec5d2e281a8b943dbea,1,0,0,nan,0,0,1,0,556.26927,1
6dd3b1db73b64ad42471263e150392172aad3970,1,0,0,nan,0,0,1.25,0.25,556.017248,1
b49d2a9045c3902c968ae1fc74add5194ea0ccf1,2,0,0,3.0,0,0,1,0,555.8985,2
b5674572470ba9c52c8ec0c096d8f23e0e364660,1,0,0,nan,0,0,1,0,556.329326,3
ad055d9c63e235eb5628a7c66b6962cc12db6d63,1,0,1,1131.0,241.301011,0,1,0,556.263581,1
04a7fa9e3701d1dd469aaf12c12e14189702fccc,1,0,0,nan,0,0,1,0,556.35712,1
bada629d77472154a6a6c30adcc39bce98083184,1,0,0,nan,0,0,1,0,556.119979,1
4570a4c9dce36f83b29a125f115808799ec79c87,1,0,0,nan,0,0,1,0,556.22927,1
c26c1d12ff1ec1aeda94dedb6065581d9d773fcb,1,0,0,nan,0,0,1,0,556.431794,2
054a6b6b8f4b3f177fb8d154b7ab83c1eaf29f10,3,0,0,1.5,0,0,1,0,285.741,1
0969a131f15653f82571e251c82664bb79fd4085,6,0,0,10.0,0,0,1,0,556.12492,2
5aafcb91d263c39f47720108cbd20f9201078046,3,0,0,42.5,0,0,1,0,555.400498,2
3c48f53aac6fcfb554e44696b97795c1ce9b2baf,1,0,0,nan,0,0,1,0,556.42427,1
