user_id,NP,NB,NF,MP,SR,RL,AS,ES,TP,session_no
cfd069cd85cdab50a42a8b6cc70a92b0537e715b,2,0,0,105.0,0,0,1.125,0.125,1098.12854004,2
70f2ffc1850d83de3672acb465159b9b20149d0f,2,0,0,1.5,0,0,1.125,-0.125,470.673772,1
b1d675531021fb3fcd24daef8829755bc0593e55,1,0,0,nan,0,0,1,0,1078.543674,2
a8d6aa4e01d5fa9add28cf8ba348f3c370818ff2,1,0,0,124.00000000000001,0,0,1.75,0.25,418.454311,1
493ff1ce7245d43055e737e3a5ca3172ff5842b0,3,5,0,43.5,0,109.18904729099995,1,0,1098.39662784,2
493ff1ce7245d43055e737e3a5ca3172ff5842b0,1,1,0,nan,0,33.385556991,1,0,123.0343694,3
3f952255c0f05152e9a91033bdfaeab1ced8377c,1,0,0,nan,0,0,1,0,203.111447281,1
3f952255c0f05152e9a91033bdfaeab1ced8377c,2,0,0,105.0,0,0,1,0,895.156211519,2
8f63520af8d3b20895348b3be2bc00d497c1a30c,4,2,3,9.0,49.966808438999976,34.470696660000016,1,0,1098.33825944,2
116992601024fb40d53fc26b64edcfbdfecabfa7,5,0,0,28.5,0,0,1,0,1098.181,2
31122589ad6d708c2a6c355b759444a611aa2622,3,0,0,181.5,0,0,1,0,1098.119052,1
6e25f7532c0c868c670aee5b7618657d2193ce0f,1,0,0,nan,0,0,1,0,1098.105623,1
ebc08cbc0f90495a0a2f851b3defab9ba3e282ff,2,1,2,1609.0,1070.6644079999999,1.2804619999999431,1,0,1098.199724,1
543dee7412f2f8dd5e85c4f135b1bfe4c6b96115,2,0,0,411.0,0,0,1,0,552.03737,2
543dee7412f2f8dd5e85c4f135b1bfe4c6b96115,3,0,0,132.0,0,0,1,0,546.257006,4
75582e28ea003500611ea8ec92eee31cb7bbb6f2,3,1,0,20.5,0,24.53360500000008,1,0,1098.252086,2
81e0d13fb0a6a7ad29dbaa5779035e7c4006a95c,3,0,0,15.5,0,0,1,0,1098.101,1
81e0d13fb0a6a7ad29dbaa5779035e7c4006a95c,1,0,7,2.0,1059.9519999999998,0,1,0,1065.0,2
30d408b79c17085a92dc7b83f7ca5df8082ddac8,1,0,0,396.0,0,0,1,0,1098.232947,4
2a4b7a8b308a09cda3c6c3a4fe5d7bd1c3dcddcf,10,1,1,217.5,39.509207,27.8878,1,0,1098.094693,1
559bc9f37e0e6b7c7d5044f61df5c839e55cde4b,2,0,1,109.5,0.05531159999986812,0,1.25,0.25,1098.0,3
5cad8c5f2e4b933392e42332ec53c68017cfe812,2,1,3,2.5,109.52816500000006,0.4924259999999663,1.125,-0.125,1098.269024,1
5cad8c5f2e4b933392e42332ec53c68017cfe812,1,0,4,19.0,275.8657160000001,0,1,0,524.804794,3
42254ca2d2493120cade154b0109804f924198b9,1,0,0,nan,0,0,1.125,0.125,155.854,1
42254ca2d2493120cade154b0109804f924198b9,1,1,0,nan,0,147.0,1,0,1090.180178,2
ca2295afea5a285a348942389557f10afcd13ec4,1,0,0,nan,0,0,1,0,1098.281,1
a95ff99ecd3d546fd69b418a4a131fa65eb4d634,1,0,0,nan,0,0,1,0,445.267326,1
a95ff99ecd3d546fd69b418a4a131fa65eb4d634,1,0,0,nan,0,0,1,0,649.493858,3
2e6276aa7ca3f68505192127b4efb7d8eec909d9,3,0,0,111.5,0,0,1,0,1098.081,1
0ac14ad5e99db197bc0fbe465598beacad36a4e8,3,0,0,453.5,0,0,1,0,1098.373514,2
6345ea56aa3990ab6d4dac1150a3d3824e686887,3,0,0,48.0,0,0,1,0,1098.49063066,1
cc48a0074bfa29fc53d41867e492e21ba7662f64,6,3,1,44.0,10.139999999999986,43.763626000000215,1,0,1029.289455,1
5bc9be640399d0ea35900e6e48f81f665b24195f,2,0,0,435.0,0,0,1,0,1098.36569849,1
24bcc85c1162082f399674bd04a08781758db63a,2,0,0,392.0,0,0,1,0,1097.377627,1
3a05306ae12ca006417d5878d4ef2b8475e22981,2,3,0,395.0,0,148.23019464199996,1,0,1098.04086104,1
62e54e9e64ab1166e9f381a41d555947fa1e056a,1,2,0,168.0,0,45.67140896400008,1,0,461.445672469,1
ed2a2190e8761df8f5a4c3d49da98a34062fca4e,1,1,0,nan,0,17.8713129,1,0,1098.290501,1
ccace9c353b4f09cd7c868d34ac3c73e50feda48,3,0,0,664.0,0,0,1,0,1098.142,1
c5aa664ef4a92ed47e8858f3624bd9a0378a8524,4,2,0,53.0,0,44.41618259599997,1,0,237.53644121,1
c5aa664ef4a92ed47e8858f3624bd9a0378a8524,3,5,3,1.0,58.0,431.843172,1,0,821.651428,2
c5aa664ef4a92ed47e8858f3624bd9a0378a8524,3,0,0,39.0,0,0,1,0,1090.993197,3
7ee47c5dc1b94037dce4d80a7b8cbfd5f0156ba5,1,0,0,nan,0,0,1,0,1098.302599,1
548938d3c545204f50b35151011c4b6b3211f395,2,0,0,1782.0,0,0,1.25,0.25,1098.401,1
548938d3c545204f50b35151011c4b6b3211f395,1,1,0,nan,0,3.82,1,0,1098.161,2
548938d3c545204f50b35151011c4b6b3211f395,1,1,7,nan,37.131640000000004,0.309915999999987,1.125,0.125,1098.165458,4
4663e4b20d0d98cdc2ee63764a868551280299ce,1,0,0,nan,0,0,1,0,1098.095986,1
19478b27f3736f37fc919d4aff8e632333aefe30,1,0,0,nan,0,0,1,0,112.699,1
19478b27f3736f37fc919d4aff8e632333aefe30,1,1,6,8.0,795.5139999999999,19.781000000000006,1,0,1098.221,2
a53e823f57114b7af0ef5886af9c08c52b395846,18,5,6,67.0,28.786457999999982,95.905685,1,0,832.040635,1
a53e823f57114b7af0ef5886af9c08c52b395846,7,2,9,0.5,1647.7443150000001,12.893975999999952,1,0,1098.212508,3
c69a3e7d674bbb604f24589f55c996971280beb0,25,0,0,5.5,0,0,1,0,1098.297251,1
aa0fee90047d84cdfdfab3f10be17f89ac1a739c,8,0,0,nan,0,0,1,0,272.5670116,1
aa0fee90047d84cdfdfab3f10be17f89ac1a739c,2,1,0,17.0,0,257.0,1.25,0.25,1083.2310364,2
3456e84c2455c544d3e3117399bcaf13b7e780ac,5,1,0,155.0,0,14.100999999999999,1,0,1098.217,2
8fcaa0bfb295a08b3b834f4cfa7e6c5a377d597c,1,0,0,nan,0,0,1,0,162.637146,1
8fcaa0bfb295a08b3b834f4cfa7e6c5a377d597c,3,0,0,107.0,0,0,1,0,936.056773,2
a412784cac5a5d56e376ef5b53cb6568dbe0666a,5,0,0,14.0,0,0,1,0,1098.081,1
25d5fd58c87fb97025d9a82937a1daebe6f5be33,5,0,0,5.0,0,0,1,0,1098.320748,1
17eb68624df3eb95ce89f5a9e653caf01e325c7c,1,0,0,nan,0,0,1,0,1097.742789,1
b0831ccc461c3576ad25e52f1a328aac6b243c26,3,0,0,105.5,0,0,1,0,1033.181,2
b0831ccc461c3576ad25e52f1a328aac6b243c26,0,6,2,nan,1047.7579999999998,394.9860000000002,1,0,1011.301,3
4b8daa0f7341391b76036554114ac9d1fba1e561,1,0,0,nan,0,0,1.125,0.125,1098.2329363,4
d1c391e148d6ed9b366fdd408b551613a7223b06,11,6,29,21.0,376.2802399999996,35.37297800000012,1,0,1069.015805,1
59e9b927cb49e200deb761417eddba50b30678ce,1,1,1,3.0,9.951843799999779,19.417770219999966,1,0,1098.40777022,1
740d1f8727b7bdca58fbf70a8ea5e982cbaaf0e9,5,0,0,58.0,0,0,1,0,1098.04248047,1
159fcc0f477f7ea4e3be264fb74e1087107b2914,3,1,0,249.50000000000003,0,8.876009,1,0,1098.357217,2
cb1aafeee8164e523663209cecc4b0338a7abe75,3,0,0,130.5,0,0,1.125,0.125,1098.073389,1
8fcdff4545f74f3ad10f75198ca963a81ed8f694,4,1,0,1122.0,0,19.29800899999998,1.125,-0.125,1098.297425,2
d256020b8f34cc6f33dbdcd79a8ffc081af49670,5,0,0,10.0,0,0,1,0,1098.24670204,3
d256020b8f34cc6f33dbdcd79a8ffc081af49670,2,0,0,1.0,0,0,1,0,735.104675293,5
fac44274836d69545ff9494d3db9ce0e72610f3e,3,0,0,492.5,0,0,1,0,301.501,2
fac44274836d69545ff9494d3db9ce0e72610f3e,7,0,0,126.5,0,0,1,0,796.6800000000001,3
286c2147f7d1e9239fa950b4f3e41aae59c49e33,10,0,0,3.5,0,0,1,0,1098.200727,2
deb338849cfb534c224b405c3088a5a6ca95dffd,5,1,0,21.5,0,8.317912000000035,1,0,1098.094874,1
dd09c4c8d4fcf26dd1e7e3c74d79e533f0eacb87,2,0,1,1435.0,225.29370391,0,1,0,1098.26235179,2
b15d65141ee0ec2eb4fc75455422b4a91608d98c,2,1,0,853.0,0,12.738225999999997,1,0,1098.156644,2
be0dd1dca94ebebab2bd6ec80a0db1ed89e75ecc,3,0,0,95.5,0,0,1,0,1098.130385,1
13d7a5dd337b260d21a59b5c78b7174961261e45,2,0,0,91.0,0,0,1,0,162.622,4
13d7a5dd337b260d21a59b5c78b7174961261e45,4,0,0,119.00000000000001,0,0,1,0,816.201,6
13d7a5dd337b260d21a59b5c78b7174961261e45,0,1,6,nan,918.1500000000001,83.98100000000011,1,0,862.082,7
