user_id,NP,NB,NF,MP,SR,AS,RL,TP,ES,session_no
950247f739b9ecb115c24b3899144ae086da3c10,2,0,0,82.169588,0.0,1.0,0.0,484.0775508,0.0,1
cee5c227661af752c9889a7ef6131071d07e408e,2,0,0,69.490973,0.0,1.25,0.0,465.816836,-0.25,2
77108a0fe274473034e56bf863a38370a0059013,12,0,0,14.364511,0.0,1.0,0.0,483.8134541,0.0,2
8d0df163cba1894efdfa1480ebf02fd4d1ffddd6,1,5,0,779.0,0.0,1.0,102.39385,483.875587,0.0,1
418c329ffbf0d0f1ebbab79711ec17c735ae310d,7,0,0,206.855922,0.0,1.0,0.0,483.963103,0.0,1
abef2047f1982451a82d46f3745d69beb6ab5e7c,5,1,4,32.3850475,219.230474,1.0,270.590573,483.317553,0.0,1
4eb6f89fd9a4128976cfa57687499a2f81342bd3,4,0,0,41.557269,0.0,1.0,0.0,483.917482,0.0,1
9fb7e592088f95117aedec9c89337b95dd7ae3d4,2,0,0,49.677989,0.0,1.0,0.0,483.5085,0.0,1
95bea20ee00541aecb99828866c0403b9dc6a8db,5,12,0,35.49983,0.0,1.0,177.274764,484.020825,0.0,1
e78408c22d2f8a1c1fafe61f7bf7e7f0c060f6a2,2,1,0,3.980273,0.0,1.0,6.112834,484.112834,0.0,2
421c0e576ef7a3598c31dab082f9b870960a329c,2,0,0,13.0,0.0,1.0,0.0,483.64,0.0,1
421c0e576ef7a3598c31dab082f9b870960a329c,4,0,0,122.0,0.0,1.0,0.0,379.82,0.0,2
421c0e576ef7a3598c31dab082f9b870960a329c,4,2,2,66.080819,35.3595,1.0,951.64,475.46,0.0,3
421c0e576ef7a3598c31dab082f9b870960a329c,10,4,1,41.587613,196.32,1.0,590.612,484.041,0.0,4
421c0e576ef7a3598c31dab082f9b870960a329c,1,0,2,1737.610635,13.652,1.0,0.0,477.0,0.0,7
421c0e576ef7a3598c31dab082f9b870960a329c,4,1,1,16.296651,12.613,1.0,475.157,475.88,0.0,8
