user_id,NP,NB,NF,MP,SR,RL,AS,ES,TP,session_no
b90558eb2f221312007c79b31cf9a6105a0d9f5b,4,1,0,21.0,0,28.286434999999997,1,0,987.784763,2
b681782b089792abe799167243e4f78c90df92f5,3,0,0,269.5,0,0,1,0,297.316941,1
1ab8d09247102b87e1d3f1165de4d7269738bb62,2,0,0,292.0,0,0,1,0,1007.778,1
36fee85373b7202a9e81ac29930b6760d5e02e81,1,0,0,nan,0,0,1,0,140.805963,1
83a0c93e7eecca7f7ff73c05ae077ac42fd9c991,1,0,0,nan,0,0,1,0,1007.87006338,1
529d47b95b0bda111b4d0944c4b674626a3d019a,1,0,0,nan,0,0,1,0,1007.848,2
7b245905b3eb186b854667c3c6687c0b277b25b6,3,0,0,20.0,0,0,1,0,1007.853999,1
c2d5385a87b73fe9b827508018340f48817fcdcc,8,3,0,82.5,0,48.6232405,1,0,1007.953872,1
0104fb7323af9dc6db2cf4805584af31b7322275,4,0,2,1.0,82.830104,0,1.75,0.25,990.1116,2
2e786dc81a25b51dd8cb3cea39975e9f587c7289,4,1,0,4.0,0,47.63934735,1.125,-0.125,572.761260009,3
2e786dc81a25b51dd8cb3cea39975e9f587c7289,2,0,0,13.0,0,0,1,0,430.985671,4
2e786dc81a25b51dd8cb3cea39975e9f587c7289,5,2,1,77.0,294.67937639199994,1006.0,1.25,0.25,1006.00113689,5
89a3320c1baa5dd49ab25b32ad9d12c2474a0b6b,3,0,0,131.0,0,0,1,0,863.368749,2
8de46f7cb453c539f0d9ba40cc136d5ccf9898cf,4,0,0,284.0,0,0,1,0,1007.98360417,1
3c83761a31205ccf2d78ea81a52bfcd4b5038462,3,0,1,64.0,11.539592000000027,0,1,0,469.96395,2
3c83761a31205ccf2d78ea81a52bfcd4b5038462,4,1,17,117.00000000000001,377.7030000000001,60.360000000000014,1,0,475.304592,3
b96dc27f8229c757a804f6cb31bb6680bcce6f46,3,1,0,0.0,0,502.64649999999995,1.25,-0.25,1007.6465,1
b96dc27f8229c757a804f6cb31bb6680bcce6f46,6,4,0,1.0,0,670.687352,1,0,1008.001443,5
61c203fb047c2b6efd9e5ffe901ec7ab74f910e3,10,0,0,109.0,0,0,1.1666666666666667,-0.83333333333333326,1007.566348,2
04971710a0cef5291fd26db5c136e53138747634,5,0,0,231.0,0,0,1,0,1007.74,9
37d5b4d4e6c15dc78612730d2365cfd9d683eca4,19,4,50,101.5,1782.3830060000007,1044.3671900000002,1,0,993.542622,1
37d5b4d4e6c15dc78612730d2365cfd9d683eca4,2,1,7,16.0,568.259,919.341,1,0,914.24,2
8260337d43584b8f191bcc2974c980c0fbbd42b9,4,0,0,7.0,0,0,1.125,-0.125,1008.01,3
