user_id,NP,NB,NF,MP,SR,AS,RL,TP,ES,session_no
ea0302e7bf4ec1bfdd360ceafd0c55e60fb42f38,9,20,1,130.0,7.705556,1.0,658.290037,545.634512,0.0,2
ea0302e7bf4ec1bfdd360ceafd0c55e60fb42f38,2,4,16,721.0,809.114337,1.0,86.77442,701.73356,0.0,3
53645a2d52e5cee2d1024b4659cce4250773ecc0,3,0,0,42.5,0.0,1.0,0.0,701.778,0.0,1
618aa24ee32237319c885be8861c3859c32a5a3e,2,0,0,47.0,0.0,1.0,0.0,701.398176,0.0,3
618aa24ee32237319c885be8861c3859c32a5a3e,8,0,3,132.0,66.31225,1.375,0.0,701.480133,0.125,4
0f755dd4a7f9ccd853dcbaccfb26c66a612b4a9c,8,0,0,58.0,0.0,1.0,0.0,643.543288,0.0,2
5c495eb4f15291254a542b5ad66664a28bfe3cf1,3,8,0,590.0,0.0,1.0,199.914347,701.712012,0.0,1
5c495eb4f15291254a542b5ad66664a28bfe3cf1,2,1,0,2.0,0.0,1.0,694.881235,694.881235,0.0,4
ee3e3f1e40bacc1b8d7068081b942dd9126fe0ca,19,0,0,10.5,0.0,1.0,0.0,670.929605128,0.0,2
8820c3db749789fbc19f5c0d049ffecb1b01dad2,3,1,0,172.0,0.0,1.0,37.241,701.821,0.0,2
9b133dde923824ad0fb9c341209bb225c963576c,3,0,0,3.5,0.0,1.0,0.0,701.553712,0.0,1
bac49831aee7da4a149edfd85cdc4e444bc314af,2,0,0,14.0,0.0,1.0,0.0,701.468163,0.0,2
b070bfe0858a21509491f9fd447ec5ad1cb84dd0,13,1,2,51.0,349.728662563,1.0,33.127283578,701.760586368,0.0,2
e1dd222f870eb4405eb2d48dadd8a4d24a8d7811,3,1,0,908.0,0.0,1.0,29.12,701.78,0.0,3
efbe081e0ff301e4c7d7186dfb31904f384c6e7b,5,2,9,49.0,649.942857,1.0,517.91648,701.603977,0.0,1
efbe081e0ff301e4c7d7186dfb31904f384c6e7b,7,4,1,37.0,9.548744,1.0,241.393487,700.294559,0.0,5
30d0cafe0302fbf7a07f1c69babe7b7687277992,6,0,0,51.0,0.0,1.0,0.0,701.657,0.0,1
d54375c726ed9e9c6c63c6577fb88d3cb3b3b22c,2,1,0,14.0,0.0,1.0,34.5757,701.617995,0.0,2
457cbbdbaeeead0ca1239ffb02b24c1300753c0a,13,16,5,32.0,415.959776,1.0,585.881627,701.600816,0.0,2
e2413e909940fffc1b0537896438931415eb6721,13,4,2,34.5,1191.0504786,1.0,552.0478993,701.8930265,0.0,4
