user_id,NP,NB,NF,MP,SR,RL,AS,ES,TP,session_no
802de0645d4d7f71414539747418c5ed05a7006d,3,0,0,37.5,0,0,1.375,0.125,273.729905,1
3c48f53aac6fcfb554e44696b97795c1ce9b2baf,1,0,0,nan,0,0,1,0,273.941,2
ccd7060e8402cd5588155c043eeb5fa7cbcfa8cd,4,0,0,100.0,0,0,1,0,273.893055,1
dcde245429175cee5ff2710a732e20e2495f3a55,1,0,0,nan,0,0,1,0,273.873115,2
43fbe10a1662ed7eb0e13e030b796aa79419d07a,1,0,0,nan,0,0,1,0,273.832925,2
92be6909033c6b74cd1bf4d6a87bf031cd9b6088,0,0,2,nan,170.0,0,1,0,205.64,4
5a0fdfb58dcc6a73f0f877895f28b4ce8be5dd06,1,0,0,nan,0,0,1,0,136.468027,4
5a0fdfb58dcc6a73f0f877895f28b4ce8be5dd06,1,0,3,29.000000000000004,185.299208,0,1,0,273.833514,6
4e4f26c01033137ceda1f5328c620c3dfef2ee46,1,0,0,nan,0,0,1.5,0.5,273.945535,1
e5586c5965554a4fd883423d29041ddf0eead88e,1,0,0,nan,0,0,1,0,273.733696,1
bd39ce72f5ac2444fc723666ae670554830793d2,1,0,0,nan,0,0,1,0,273.832925,3
f590149c568967e6d34e8c352458a30bf2c0632e,1,0,0,nan,0,0,1,0,273.975697,1
f590149c568967e6d34e8c352458a30bf2c0632e,2,0,0,4.0,0,0,1,0,273.935534,2
f590149c568967e6d34e8c352458a30bf2c0632e,2,0,1,3.0,91.16981299999999,0,1,0,273.651096,3
5c43450431673a76db2676d9e8051d2f494d8584,0,0,1,nan,161.0,0,1.25,-0.25,161.0,1
4f246e4a85c39cd0fdc3f2ce7b186fb0a190d0b9,1,0,0,nan,0,0,1.375,0.125,273.67,1
084b933c2ee56d9a02e0118515a1d3d103a8d330,2,0,0,18.0,0,0,1,0,273.755042,1
ffc6c9ed35087376abb18a721a1704a3bfba200e,1,0,0,nan,0,0,1,0,273.963332,1
9746dc01509473b8e1b1cb5a84ca0118fe829995,0,0,5,nan,231.94,0,1,0,217.36,1
a70bd0bce2e0fca4479a4b23b59f8d0e0bb07345,4,0,0,112.0,0,0,1,0,273.728256,1
d55c692d60705e1a5377b5b38084555f0fc169fd,1,0,0,nan,0,0,1,0,273.818,1
054a6b6b8f4b3f177fb8d154b7ab83c1eaf29f10,1,0,0,nan,0,0,1,0,273.941,1
f1002c75f9e4d6d4f64a0d4332ce83eeec38132b,2,1,0,3.0,0,33.857723,1.75,-0.25,273.652468,1
f1002c75f9e4d6d4f64a0d4332ce83eeec38132b,1,0,0,1.0038800000000001,0,0,1,0,274.065123,2
bc3176bda4c1089b3afff33884b8fca21d1a09b5,3,0,0,490.00000000000006,0,0,1,0,273.982268857,1
ad7a9dc17495bd768ac177c014bcd1a65cbf73cc,2,0,0,429.0,0,0,1,0,273.900982,1
97e15ea5a8c6e04b885859908c79f660eef8ec55,1,0,0,nan,0,0,1,0,273.702911377,1
8477c8ca62314b911ef9e9d87bbc7f1df4ccadfe,3,2,0,152.0,0,45.0,1,0,273.8512056,1
dd30385995293b456ca5e199b581c6230deac7d8,4,1,0,38.0,0,41.365726,1,0,273.823528,2
22e8468bde617a91b0702f66a4159831d3b8e995,2,1,0,110.0,0,23.476,1,0,273.861,1
695327ca682e7c9f3a58b2c2a89a5dcaa80c1a21,1,0,0,nan,0,0,1,0,273.631204,1
5176877d3b280a1d6861ce41e3951609a12b62e2,2,0,0,17.0,0,0,1,0,273.661,3
5176877d3b280a1d6861ce41e3951609a12b62e2,1,0,1,nan,266.003,0,1,0,265.94,5
6e74ba993ecf70c11a0643423bff597c820fc7f2,2,0,0,192.0,0,0,1,0,273.7209139,2
