,NP,NB,NF,MP,SR,RL,TP,session_no,mean_grade,varience_grade,dropouts
NP,1.0,-1.0,,-0.994079298673,,-1.0,-0.50418560568,0.5,-0.0305691459561,-0.180346489261,0.637156175664
NB,-1.0,1.0,,0.994079298673,,1.0,0.50418560568,-0.5,0.0305691459561,0.180346489261,-0.637156175664
NF,,,,,,,,,,,
MP,-0.994079298673,0.994079298673,,1.0,,0.994079298673,0.407364779627,-0.402939909899,-0.0782180842423,0.0724033253394,-0.717129501916
SR,,,,,,,,,,,
RL,-1.0,1.0,,0.994079298673,,1.0,0.50418560568,-0.5,0.0305691459561,0.180346489261,-0.637156175664
TP,-0.50418560568,0.50418560568,,0.407364779627,,0.50418560568,1.0,-0.999988287697,0.878604244956,0.940363174375,0.344357923607
session_no,0.5,-0.5,,-0.402939909899,,-0.5,-0.999988287697,1.0,-0.880905243645,-0.941998554103,-0.348897758818
mean_grade,-0.0305691459561,0.0305691459561,,-0.0782180842423,,0.0305691459561,0.878604244956,-0.880905243645,1.0,0.988656499056,0.750897199911
varience_grade,-0.180346489261,0.180346489261,,0.0724033253394,,0.180346489261,0.940363174375,-0.941998554103,0.988656499056,1.0,0.643188213458
dropouts,0.637156175664,-0.637156175664,,-0.717129501916,,-0.637156175664,0.344357923607,-0.348897758818,0.750897199911,0.643188213458,1.0
