NP,NB,NF,MP,SR,RL,AS,TP,session_no,ES,cluster_label
0.0113636363636,0.0,0.0,0.0196078431373,0.0,0.0,0.25,0.996364769796,0.0,0.6,0
0.0113636363636,0.0,0.0,0.00168067226891,0.0,0.0,0.25,0.981470624862,0.1,0.6,0
0.0113636363636,0.0,0.0,0.452661064426,0.0,0.0,0.25,0.0812172162694,0.1,0.6,2
0.0227272727273,0.0,0.0294117647059,0.0428571428571,0.0230086598084,0.0,0.25,0.894319706543,0.0,0.6,0
0.0113636363636,0.0555555555556,0.0294117647059,0.0207282913165,0.0649997484383,0.138001542195,0.25,0.996592450054,0.2,0.6,0
0.0113636363636,0.0,0.0,0.00168067226891,0.0,0.0,0.5,0.996053184164,0.0,0.4,3
0.0340909090909,0.0,0.0,0.0128851540616,0.0,0.0,0.25,0.99685051323,0.0,0.6,0
0.0113636363636,0.0,0.0,0.0543417366947,0.0,0.0,0.25,0.895468559778,0.1,0.6,0
0.0227272727273,0.0555555555556,0.0,0.00672268907563,0.0,0.0319687289385,0.25,0.996102117482,0.1,0.6,0
0.0113636363636,0.0555555555556,0.0,0.658263305322,0.0,0.0301393275831,0.25,0.571475254087,0.3,0.6,1
0.0113636363636,0.111111111111,0.0,0.0240896358543,0.0,0.0039288318524,0.25,0.996240313007,0.0,0.6,0
0.0113636363636,0.0,0.0,0.0173669467787,0.0,0.0,0.25,0.996701746708,0.1,0.6,0
0.0113636363636,0.0,0.0,0.00504201680672,0.0,0.0,0.25,0.996497231747,0.1,0.6,0
0.0909090909091,0.0,0.0,0.0173669467787,0.0,0.0,0.25,0.9964363947,0.0,0.6,0
0.0113636363636,0.0,0.0,0.00168067226891,0.0,0.0,0.25,0.995511242605,0.1,0.6,0
0.0,0.0,0.0294117647059,0.633613445378,0.213215705263,0.0,0.25,0.996308659399,0.0,0.6,1
0.0227272727273,0.0,0.0,0.000840336134454,0.0,0.0,0.25,0.405428144827,0.0,0.6,2
0.0568181818182,0.0,0.0,0.00560224089636,0.0,0.0,0.25,0.996005793432,0.1,0.6,0
0.0227272727273,0.0,0.0,0.0238095238095,0.0,0.0,0.25,0.994423497261,0.1,0.6,0
0.0113636363636,0.0555555555556,0.0,0.108683473389,0.0,0.438755344844,0.25,0.996315397714,0.0,0.6,4
0.0113636363636,0.0,0.0,0.117647058824,0.0,0.0,0.25,0.995821803575,0.0,0.6,0
0.0795454545455,0.166666666667,0.0294117647059,0.00336134453782,0.401831261138,0.56666772918,0.25,0.99685051323,0.0,0.6,4
0.0113636363636,0.0,0.0,0.425770308123,0.0,0.0,0.25,0.996192948222,0.0,0.6,1
0.0454545454545,0.0555555555556,0.0,0.003081232493,0.0,0.0263829020834,0.25,0.884910231541,0.3,0.6,0
0.0113636363636,0.0,0.0,0.459943977591,0.0,0.0,0.25,0.99631457574,0.0,0.6,1
0.0227272727273,0.0,0.0,0.0316526610644,0.0,0.0,0.25,0.329131271242,0.3,0.6,2
0.0227272727273,0.0,0.0,0.151260504202,0.0,0.0,0.25,0.996405638715,0.0,0.6,0
0.340909090909,0.166666666667,0.0,0.00364145658263,0.0,0.0260873792132,0.75,0.996030481657,0.0,1.0,3
0.0,0.0555555555556,0.0,0.00616246498599,0.0,0.0249147740029,0.25,0.994424593739,0.1,0.6,0
0.0113636363636,0.0,0.0,0.112605042017,0.0,0.0,0.25,0.996615880348,0.1,0.6,0
0.0340909090909,0.0555555555556,0.0,0.00728291316527,0.0,0.0123358723692,0.25,0.996137021299,0.0,0.6,0
0.125,0.277777777778,0.0,0.0078431372549,0.0,0.0612238065425,0.25,0.9960708351,0.6,0.6,0
0.0113636363636,0.0,0.0,0.0140056022409,0.0,0.0,0.25,0.996233716667,0.0,0.6,0
0.0227272727273,0.111111111111,0.0,0.110644257703,0.0,0.0112368500697,0.25,0.000822106004095,0.1,0.6,2
0.0113636363636,0.0,0.0,0.243137254902,0.0,0.0,0.25,0.996218427135,0.1,0.6,0
0.0113636363636,0.0,0.0,0.0190476190476,0.0,0.0,0.25,0.996061163379,0.1,0.6,0
0.238636363636,0.111111111111,0.0,0.00504201680672,0.0,0.0625910269011,0.25,0.996357627401,0.0,0.6,0
0.0113636363636,0.0,0.0,0.00112044817927,0.0,0.0,0.25,0.995674556647,0.0,0.6,0
0.352272727273,0.833333333333,0.0882352941176,0.00896358543417,0.0727394780964,0.488468113014,0.25,0.995802713502,0.1,0.6,4
0.0113636363636,0.0,0.0,0.0879551820728,0.0,0.0,0.25,0.995971610407,0.2,0.6,0
0.0113636363636,0.0,0.0,0.0168067226891,0.0,0.0,0.25,0.996713966133,0.0,0.6,0
0.0113636363636,0.0,0.0294117647059,0.00812324929972,0.0194216709485,0.0,0.25,0.904572082427,0.1,0.6,0
0.0113636363636,0.0555555555556,0.0,0.0212885154062,0.0,0.0376935299585,0.25,0.996409037359,0.1,0.6,0
0.0113636363636,0.0,0.0,0.302521008403,0.0,0.0,0.25,0.996254490772,0.0,0.6,1
0.0454545454545,0.0,0.0,0.0182072829132,0.0,0.0,0.25,0.995809973846,0.1,0.6,0
0.0340909090909,0.0,0.0,0.0212885154062,0.0,0.0,0.25,0.996006219355,0.0,0.6,0
0.0227272727273,0.0,0.0,0.170588235294,0.0,0.0,0.25,0.996460929405,0.1,0.6,0
0.0113636363636,0.0,0.0,0.0145658263305,0.0,0.0,0.25,0.996447455584,0.1,0.6,0
0.125,0.0555555555556,0.0,0.0078431372549,0.0,0.0354936102483,0.25,0.706739382464,0.1,0.6,0
