,NP,NB,NF,MP,SR,RL,TP,session_no,mean_grade,varience_grade,dropouts
NP,1.0,,,-0.0629115029377,,,0.816016783777,-0.816496580928,0.820410002567,-0.813696387809,0.758095683198
NB,,,,,,,,,,,
NF,,,,,,,,,,,
MP,-0.0629115029377,,,1.0,,,0.392701409511,-0.392398922812,0.257848620379,-0.1329373256,-0.612092043369
SR,,,,,,,,,,,
RL,,,,,,,,,,,
TP,0.816016783777,,,0.392701409511,,,1.0,-0.999999578889,0.984694762845,-0.949482168459,0.24716523316
session_no,-0.816496580928,,,-0.392398922812,,,-0.999999578889,1.0,-0.984651567949,0.949418077661,-0.247921386036
mean_grade,0.820410002567,,,0.257848620379,,,0.984694762845,-0.984651567949,1.0,-0.989582888265,0.290574664859
varience_grade,-0.813696387809,,,-0.1329373256,,,-0.949482168459,0.949418077661,-0.989582888265,1.0,-0.333497557495
dropouts,0.758095683198,,,-0.612092043369,,,0.24716523316,-0.247921386036,0.290574664859,-0.333497557495,1.0
