,NP,NB,NF,MP,SR,RL,TP,session_no,mean_grade,varience_grade,dropouts
NP,1.0,,,-0.997543776141,,,-0.496281088197,,0.280654573466,-0.839928082627,0.473149189273
NB,,,,,,,,,,,
NF,,,,,,,,,,,
MP,-0.997543776141,,,1.0,,,0.434251012431,,-0.347195805099,0.8758787295,-0.533696143879
SR,,,,,,,,,,,
RL,,,,,,,,,,,
TP,-0.496281088197,,,0.434251012431,,,1.0,,0.693985907798,-0.0543090604714,0.53002028698
session_no,,,,,,,,,,,
mean_grade,0.280654573466,,,-0.347195805099,,,0.693985907798,,1.0,-0.75661572781,0.978366101117
varience_grade,-0.839928082627,,,0.8758787295,,,-0.0543090604714,,-0.75661572781,1.0,-0.875518387286
dropouts,0.473149189273,,,-0.533696143879,,,0.53002028698,,0.978366101117,-0.875518387286,1.0
