,NP,NB,NF,MP,SR,RL,TP,session_no,mean_grade,varience_grade,dropouts
NP,1.0,0.936632406732,0.916949300616,-0.553316076939,0.916949300616,0.901813533633,0.489625658675,0.493741931101,0.0930430980475,-0.958965097398,-0.0834071543874
NB,0.936632406732,1.0,0.962250448649,-0.600860635984,0.962250448649,0.971123621214,0.183725672657,0.19245008973,-0.260561839423,-0.893029951962,-0.22155189551
NF,0.916949300616,0.962250448649,1.0,-0.36249521126,1.0,0.997242782559,0.319431486507,0.333333333333,-0.186602429804,-0.798955378861,-0.441240423643
MP,-0.553316076939,-0.600860635984,-0.36249521126,1.0,-0.36249521126,-0.394337423536,0.217891137497,0.230264601369,0.245267577963,0.753331830768,-0.583114984356
SR,0.916949300616,0.962250448649,1.0,-0.36249521126,1.0,0.997242782559,0.319431486507,0.333333333333,-0.186602429804,-0.798955378861,-0.441240423643
RL,0.901813533633,0.971123621214,0.997242782559,-0.394337423536,0.997242782559,1.0,0.248635336582,0.262695513696,-0.255745585339,-0.792224596464,-0.438826797902
TP,0.489625658675,0.183725672657,0.319431486507,0.217891137497,0.319431486507,0.248635336582,1.0,0.99964312476,0.85421274159,-0.37344449187,-0.0650431079918
session_no,0.493741931101,0.19245008973,0.333333333333,0.230264601369,0.333333333333,0.262695513696,0.99964312476,1.0,0.842561307416,-0.370832690491,-0.0914657731658
mean_grade,0.0930430980475,-0.260561839423,-0.186602429804,0.245267577963,-0.186602429804,-0.255745585339,0.85421274159,0.842561307416,1.0,-0.0816474528122,0.327330506875
varience_grade,-0.958965097398,-0.893029951962,-0.798955378861,0.753331830768,-0.798955378861,-0.792224596464,-0.37344449187,-0.370832690491,-0.0816474528122,1.0,-0.183293738383
dropouts,-0.0834071543874,-0.22155189551,-0.441240423643,-0.583114984356,-0.441240423643,-0.438826797902,-0.0650431079918,-0.0914657731658,0.327330506875,-0.183293738383,1.0
